run,issue_hours,day_bin,observed,sim_mean,sim_median,sim_p10,sim_p90,sim_std,z_score,pit_cdf
premainshock,0.0,7-8,50,21.012000,20.000000,13.000000,30.000000,7.305561,3.967936,0.995000
premainshock,0.0,8-9,64,19.159000,18.000000,11.000000,28.000000,8.633438,5.193875,0.995000
premainshock,0.0,9-10,51,17.225000,16.000000,10.000000,25.000000,7.657350,4.410795,0.996000
premainshock,0.0,10-11,31,15.924000,14.000000,9.000000,24.000000,9.155985,1.646573,0.962000
premainshock,0.0,11-12,37,14.416000,13.000000,8.000000,21.000000,8.430660,2.678794,0.991000
premainshock,0.0,12-13,40,13.432000,12.000000,7.000000,20.000000,6.300561,4.216767,0.993000
premainshock,0.0,13-14,50,12.629000,11.000000,6.000000,20.000000,8.430090,4.433049,0.993000
2h,2.0,7-8,50,16.845000,16.000000,11.000000,23.000000,5.615916,5.903756,0.996000
2h,2.0,8-9,64,15.070000,15.000000,10.000000,21.000000,5.328367,9.182927,0.999000
2h,2.0,9-10,51,13.450000,13.000000,8.000000,19.000000,4.646621,8.081140,0.999000
2h,2.0,10-11,31,12.201000,12.000000,7.000000,17.000000,4.638331,4.052967,0.995000
2h,2.0,11-12,37,11.228000,11.000000,6.000000,16.000000,3.983451,6.469767,1.000000
2h,2.0,12-13,40,10.177000,10.000000,6.000000,15.000000,3.830711,7.785239,1.000000
2h,2.0,13-14,50,9.501000,9.000000,5.000000,14.000000,3.752610,10.792222,1.000000
6h,6.0,7-8,50,16.756000,16.000000,11.000000,22.000000,4.910252,6.770325,0.999000
6h,6.0,8-9,64,14.950000,15.000000,10.000000,21.000000,4.868182,10.075629,0.999000
6h,6.0,9-10,51,13.619000,13.000000,9.000000,19.000000,4.844307,7.716481,0.999000
6h,6.0,10-11,31,12.376000,12.000000,7.000000,18.000000,4.895364,3.804416,0.993000
6h,6.0,11-12,37,11.555000,11.000000,7.000000,16.100000,4.680907,5.435913,0.997000
6h,6.0,12-13,40,10.543000,10.000000,6.000000,15.000000,4.430099,6.649287,0.998000
6h,6.0,13-14,50,9.840000,9.000000,6.000000,14.000000,3.939025,10.195417,1.000000
12h,12.0,7-8,50,17.472000,17.000000,11.900000,23.000000,5.742141,5.664786,0.997000
12h,12.0,8-9,64,15.257000,15.000000,10.000000,21.000000,5.039479,9.672230,1.000000
12h,12.0,9-10,51,14.027000,14.000000,9.000000,20.000000,4.667125,7.922008,0.999000
12h,12.0,10-11,31,12.510000,12.000000,8.000000,18.000000,4.223475,4.377912,0.997000
12h,12.0,11-12,37,11.595000,11.000000,7.000000,16.000000,4.057763,6.260839,1.000000
12h,12.0,12-13,40,10.693000,10.000000,6.000000,15.000000,3.828499,7.654957,1.000000
12h,12.0,13-14,50,9.918000,10.000000,6.000000,15.000000,3.696612,10.842901,1.000000
1d,24.0,7-8,50,18.227000,18.000000,12.000000,25.000000,5.217537,6.089655,0.998000
1d,24.0,8-9,64,16.336000,16.000000,11.000000,22.000000,5.556075,8.578717,0.998000
1d,24.0,9-10,51,14.843000,14.000000,9.000000,20.000000,5.801897,6.231927,0.997000
1d,24.0,10-11,31,13.462000,13.000000,8.000000,19.000000,4.961973,3.534481,0.997000
1d,24.0,11-12,37,12.407000,12.000000,8.000000,18.000000,4.362383,5.637516,0.999000
1d,24.0,12-13,40,11.317000,11.000000,6.000000,16.000000,4.780938,5.999450,0.998000
1d,24.0,13-14,50,10.521000,10.000000,6.000000,16.000000,4.182948,9.438080,0.999000
2d,48.0,7-8,50,80.507000,77.000000,61.900000,104.000000,17.063150,-1.787888,0.009000
2d,48.0,8-9,64,82.861000,79.000000,63.000000,110.000000,19.332704,-0.975601,0.144000
2d,48.0,9-10,51,82.290000,77.500000,61.000000,111.100000,20.392198,-1.534410,0.017000
2d,48.0,10-11,31,79.748000,75.000000,58.000000,106.000000,20.786452,-2.345181,0.001000
2d,48.0,11-12,37,78.778000,74.000000,55.000000,109.100000,22.337495,-1.870308,0.002000
2d,48.0,12-13,40,76.845000,71.000000,53.000000,108.000000,23.069399,-1.597137,0.007000
2d,48.0,13-14,50,75.919000,69.000000,51.900000,111.000000,25.729642,-1.007360,0.085000
3d,72.0,7-8,50,78.167000,77.000000,63.000000,93.100000,13.724339,-2.052339,0.007000
3d,72.0,8-9,64,80.166000,77.000000,62.000000,100.000000,17.533222,-0.922021,0.134000
3d,72.0,9-10,51,78.136000,75.000000,60.000000,99.000000,16.442136,-1.650394,0.021000
3d,72.0,10-11,31,75.437000,73.000000,58.000000,96.000000,16.469465,-2.698145,0.002000
3d,72.0,11-12,37,73.274000,70.000000,56.000000,94.000000,17.276267,-2.099643,0.006000
3d,72.0,12-13,40,71.828000,69.000000,53.000000,93.000000,18.666624,-1.705075,0.012000
3d,72.0,13-14,50,69.928000,66.000000,51.900000,91.000000,20.575913,-0.968511,0.085000
7d,168.0,7-8,50,60.871000,59.000000,47.000000,75.100000,13.444222,-0.808600,0.193000
7d,168.0,8-9,64,58.221000,55.000000,44.000000,75.000000,14.937178,0.386887,0.768000
7d,168.0,9-10,51,54.382000,51.000000,40.000000,73.000000,15.740834,-0.214855,0.520000
7d,168.0,10-11,31,51.548000,48.000000,36.000000,70.000000,16.421064,-1.251320,0.033000
7d,168.0,11-12,37,48.072000,44.000000,32.000000,68.000000,17.419019,-0.635627,0.262000
7d,168.0,12-13,40,44.637000,41.000000,29.000000,62.000000,17.677322,-0.262313,0.488000
7d,168.0,13-14,50,42.581000,39.000000,28.000000,59.000000,16.436167,0.451383,0.801000
