key,label,issue_hours,threshold,observed_count,sim_median,sim_p05,sim_p95,median_ratio,n_q_lo,n_q_hi,weekly_crps
premainshock,Generic,0.0,3.0,323,104.0,73.0,186.14999999999986,0.3219814241486068,0.996,0.004,190.764297
premainshock,Generic,0.0,4.0,34,11.0,5.0,21.0,0.3235294117647059,0.994,0.007,19.800815
premainshock,Generic,0.0,5.0,1,1.0,0.0,3.0,1.0,0.719,0.627,0.23294799999999993
premainshock,Generic,0.0,6.0,0,0.0,0.0,1.0,0.0,0.903,1.0,0.009444999999999995
2h,2 h,2.0,3.0,323,86.0,67.0,117.0,0.26625386996904027,1.0,0.0,225.652718
2h,2 h,2.0,4.0,34,9.0,4.0,15.0,0.2647058823529412,1.0,0.0,23.118913
2h,2 h,2.0,5.0,1,1.0,0.0,3.0,1.0,0.801,0.558,0.23861599999999994
2h,2 h,2.0,6.0,0,0.0,0.0,1.0,0.0,0.932,1.0,0.004639999999999991
6h,6 h,6.0,3.0,323,88.0,68.0,115.04999999999995,0.2724458204334365,1.0,0.0,224.955053
6h,6 h,6.0,4.0,34,9.0,4.0,15.0,0.2647058823529412,1.0,0.0,23.105694999999997
6h,6 h,6.0,5.0,1,1.0,0.0,3.0,1.0,0.765,0.598,0.22069799999999995
6h,6 h,6.0,6.0,0,0.0,0.0,1.0,0.0,0.907,1.0,0.008674000000000001
12h,12 h,12.0,3.0,323,88.0,70.0,121.0,0.2724458204334365,1.0,0.0,222.679848
12h,12 h,12.0,4.0,34,9.0,4.0,15.0,0.2647058823529412,1.0,0.0,22.755982
12h,12 h,12.0,5.0,1,1.0,0.0,3.0,1.0,0.784,0.599,0.21272799999999997
12h,12 h,12.0,6.0,0,0.0,0.0,1.0,0.0,0.924,1.0,0.005777000000000004
1d,1 d,24.0,3.0,323,95.0,73.0,127.0,0.29411764705882354,1.0,0.0,216.309241
1d,1 d,24.0,4.0,34,10.0,4.0,16.0,0.29411764705882354,1.0,0.0,22.208603
1d,1 d,24.0,5.0,1,1.0,0.0,3.0,1.0,0.74,0.586,0.24653999999999998
1d,1 d,24.0,6.0,0,0.0,0.0,1.0,0.0,0.901,1.0,0.009816999999999992
2d,2 d,48.0,3.0,323,519.0,426.0,780.05,1.6068111455108358,0.002,0.998,171.17095799999998
2d,2 d,48.0,4.0,34,53.0,35.0,83.04999999999995,1.5588235294117647,0.036,0.972,13.867408
2d,2 d,48.0,5.0,1,5.0,2.0,11.0,5.0,0.048,0.995,2.942306
2d,2 d,48.0,6.0,0,0.0,0.0,2.0,0.0,0.612,1.0,0.16213500000000003
3d,3 d,72.0,3.0,323,513.0,434.0,677.05,1.588235294117647,0.008,0.992,163.811602
3d,3 d,72.0,4.0,34,51.0,35.0,74.0,1.5,0.04,0.965,12.318245000000001
3d,3 d,72.0,5.0,1,5.0,1.0,10.0,5.0,0.053,0.99,2.7329239999999997
3d,3 d,72.0,6.0,0,0.0,0.0,2.0,0.0,0.641,1.0,0.13757399999999997
7d,7 d,168.0,3.0,323,345.0,276.95,495.0,1.068111455108359,0.346,0.662,18.036037999999998
7d,7 d,168.0,4.0,34,34.0,23.0,56.0,1.0,0.512,0.543,2.119993
7d,7 d,168.0,5.0,1,3.0,1.0,8.0,3.0,0.168,0.958,1.4878799999999999
7d,7 d,168.0,6.0,0,0.0,0.0,2.0,0.0,0.729,1.0,0.07787799999999995
